Stay;BodyType;AircraftType;NbTowings;Arr_Number;Arr_Date;Arr_Hour;Arr_CourrierCode;Dep_Number;Dep_Date;Dep_Hour;Dep_CourrierCode
2310904;MP;318;0;1667;23/06/2016;19:55;MC;1266;23/06/2016;20:50;MC
2310905;MP;321;0;1383;23/06/2016;11:45;MC;1294;23/06/2016;12:40;MC
2310906;MP;319;0;1897;23/06/2016;14:20;MC;1280;23/06/2016;16:10;MC
2310907;MP;319;0;1845;23/06/2016;09:20;MC;1284;23/06/2016;10:15;MC
2310908;3N;E70;0;1339;23/06/2016;12:10;MC;1292;23/06/2016;12:55;MC
2310909;MP;320;0;1347;23/06/2016;18:10;MC;1246;23/06/2016;19:20;MC
2310910;MP;319;0;1785;23/06/2016;10:20;MC;1258;23/06/2016;11:10;MC
2310911;MP;320;0;1247;23/06/2016;09:00;MC;1300;23/06/2016;09:55;MC
2310912;MP;318;0;1829;23/06/2016;17:05;MC;1248;23/06/2016;17:55;MC
2310913;MP;320;0;1243;23/06/2016;08:35;MC;1262;23/06/2016;09:50;MC
2310914;MP;318;0;1143;23/06/2016;18:10;MC;1314;23/06/2016;19:00;MC
2310915;MP;320;0;1533;23/06/2016;17:20;MC;1312;23/06/2016;18:20;MC
2310916;MP;320;0;1621;23/06/2016;21:40;MC;1320;23/06/2016;23:30;MC
2310917;3N;E70;0;1525;23/06/2016;19:55;MC;1310;23/06/2016;20:35;MC
2310918;3N;E70;0;1517;23/06/2016;14:25;MC;1316;23/06/2016;15:35;MC
2310919;3N;E90;0;1619;23/06/2016;13:35;MC;1318;23/06/2016;15:10;MC
2310920;MP;320;0;1395;23/06/2016;12:30;MC;1304;23/06/2016;14:15;MC
2310922;3N;E90;0;1719;23/06/2016;22:05;MC;1518;24/06/2016;07:30;MC
2310935;MP;319;2;1565;23/06/2016;22:05;MC;1554;24/06/2016;07:20;MC
2310941;MP;318;2;1405;23/06/2016;21:20;MC;1542;24/06/2016;07:15;MC
2310946;MP;318;2;7715;23/06/2016;22:15;MC;1434;24/06/2016;07:35;MC
2310953;MP;318;2;1239;23/06/2016;22:15;MC;1422;24/06/2016;07:20;MC
2310968;MP;318;2;1249;23/06/2016;22:20;MC;1750;24/06/2016;07:15;MC
2311005;MP;319;2;1755;23/06/2016;22:15;MC;1668;24/06/2016;07:20;MC
2311006;MP;321;2;1181;23/06/2016;22:20;MC;1680;24/06/2016;07:30;MC
2311013;MP;320;2;1197;23/06/2016;22:20;MC;1620;24/06/2016;10:25;MC
2311028;MP;319;2;1745;23/06/2016;21:40;MC;1896;24/06/2016;07:15;MC
2311030;MP;320;2;1169;23/06/2016;22:10;MC;1888;24/06/2016;10:25;MC
2311031;MP;319;2;1527;23/06/2016;22:20;MC;7516;24/06/2016;07:20;MC
2311064;GP;340;2;377;23/06/2016;11:30;LC;422;24/06/2016;11:20;LC
