Stay    ;BodyType ;AircraftType ;Towable ;Arr_OwnerCie ;Arr_ExploitingCie ;Arr_Number ;Arr_Date   ;Arr_Hour ;Arr_CourrierCode ;Arr_Stop ;Dep_OwnerCie ;Dep_ExploitingCie ;Dep_Number ;Dep_Date   ;Dep_Hour ;Dep_CourrierCode ;Dep_Stop
2310675;MP       ;319;1;AF           ;AF                ;1085;23/06/2016;13:15;MC               ;TUN      ;AF           ;AF                ;1844;23/06/2016;16:00;MC               ;SVO
2310676;MP       ;319;0;AF           ;AF                ;1391;23/06/2016;08:55;MC               ;IST      ;AF           ;AF                ;1854;23/06/2016;09:45;MC               ;ALG
2310678;MP       ;318;0;AF           ;AF                ;1513;23/06/2016;09:10;MC               ;LIN      ;AF           ;AF                ;1842;23/06/2016;10:00;MC               ;GVA
2310679;MP       ;321;0;AF           ;AF                ;1349;23/06/2016;14:40;MC               ;BCN      ;AF           ;AF                ;1834;23/06/2016;15:35;MC               ;TXL
2310680;MP       ;319;1;AF           ;AF                ;1153;23/06/2016;08:45;MC               ;LED      ;AF           ;AF                ;1890;23/06/2016;12:35;MC               ;IST
2310681;MP       ;319;1;AF           ;AF                ;1745;22/06/2016;21:40;MC               ;SVO      ;AF           ;AF                ;1896;23/06/2016;07:15;MC               ;CMN
2310682;3N       ;E90          ;0;A5           ;AF                ;1119;23/06/2016;20:00;MC               ;FRA      ;A5           ;AF                ;1886;23/06/2016;20:45;MC               ;EDI
2310683;MP       ;320;1;AF           ;AF                ;1121;23/06/2016;05:00;MC               ;TLV      ;AF           ;AF                ;1888;23/06/2016;10:25;MC               ;OTP
2310684;MP       ;319;1;AF           ;AF                ;1051;22/06/2016;22:15;MC               ;CPH      ;AF           ;AF                ;7516;23/06/2016;07:20;MC               ;TLS
2310685;MP       ;320;0;AF           ;AF                ;7521;23/06/2016;12:05;MC               ;TLS      ;AF           ;AF                ;7528;23/06/2016;13:00;MC               ;TLS
2310686;3N       ;E90          ;0;A5           ;AF                ;1519;23/06/2016;11:55;MC               ;FRA      ;A5           ;AF                ;7534;23/06/2016;12:35;MC               ;PUF
2310687;3N       ;E90          ;0;A5           ;AF                ;7751;23/06/2016;08:00;MC               ;CFE      ;A5           ;AF                ;7536;23/06/2016;08:40;MC               ;PUF
2310688;3N       ;E70          ;0;A5           ;AF                ;1639;23/06/2016;17:40;MC               ;HAJ      ;A5           ;AF                ;7532;23/06/2016;20:00;MC               ;PUF
2310689;MP       ;321;0;AF           ;AF                ;7523;23/06/2016;14:40;MC               ;TLS      ;AF           ;AF                ;7522;23/06/2016;15:40;MC               ;TLS
2310690;MP       ;321;0;AF           ;AF                ;7529;23/06/2016;08:40;MC               ;TLS      ;AF           ;AF                ;7518;23/06/2016;09:35;MC               ;TLS
2310691;MP       ;321;0;AF           ;AF                ;1623;23/06/2016;17:45;MC               ;MUC      ;AF           ;AF                ;7524;23/06/2016;18:40;MC               ;TLS
2310692;MP       ;321;0;AF           ;AF                ;7525;23/06/2016;19:50;MC               ;TLS      ;AF           ;AF                ;7526;23/06/2016;21:00;MC               ;TLS
