Stay ;BodyType ;AircraftType ;Towable ;Arr_OwnerCie ;Arr_ExploitingCie ;Arr_Number ;Arr_Date ;Arr_Hour;Arr_CourrierCode ;Arr_Stop ;Dep_OwnerCie ;Dep_ExploitingCie ;Dep_Number ;Dep_Date ;Dep_Hour;Dep_CourrierCode ;Dep_Stop ;Parking 1 ;Contact 1 ;Zone 1 ;Start Date 1 ;Start Hour 1 ;End Date 1 ;End Hour 1 ;Parking 2 ;Contact 2 ;Zone 2 ;Start Date 2 ;Start Hour 2 ;End Date 2 ;End Hour 2 ;Parking 3 ;Contact 3 ;Zone 3 ;Start Date 3 ;Start Hour 3 ;End Date 3 ;End Hour 3 ;Parking 4 ;Contact 4 ;Zone 4 ;Start Date 4 ;Start Hour 4 ;End Date 4 ;End Hour 4 
3300731;MP;321;0;AF;AF;9453;09/08/2022;20:30;MC;LPA;AF;AF;7712;09/08/2022;21:35;MC;NCE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300780;MP;319;0;AF;AF;1831;09/08/2022;11:55;MC;MXP;AF;AF;1234;09/08/2022;12:50;MC;BER;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300800;MP;319;0;AF;AF;1247;09/08/2022;08:35;MC;WAW;AF;AF;1024;09/08/2022;09:35;MC;LIS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300807;MP;319;0;AF;AF;1695;09/08/2022;08:25;MC;BUD;AF;AF;9420;09/08/2022;09:15;MC;AGP;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300843;MP;318;1;AF;AF;1123;09/08/2022;09:00;MC;MUC;AF;AF;7704;09/08/2022;13:20;MC;NCE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300848;MP;321;0;AF;AF;7705;09/08/2022;11:15;MC;NCE;AF;AF;1304;09/08/2022;12:20;MC;FCO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300906;MP;223;0;AF;AF;1735;09/08/2022;14:10;MC;BER;AF;AF;1226;09/08/2022;15:20;MC;VCE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300962;MP;320;0;AF;AF;1073;09/08/2022;16:15;MC;JMK;AF;AF;1100;09/08/2022;17:10;MC;MAD;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300990;MP;321;0;AF;AF;7645;09/08/2022;16:05;MC;LYS;AF;AF;7524;09/08/2022;17:15;MC;TLS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300992;MP;320;0;AF;AF;1649;09/08/2022;17:10;MC;BCN;AF;AF;1526;09/08/2022;18:05;MC;VCE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301003;MP;320;0;AF;AF;1643;09/08/2022;11:45;MC;GVA;AF;AF;1648;09/08/2022;12:40;MC;BCN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301034;MP;320;0;AF;AF;1343;09/08/2022;19:30;MC;GVA;AF;AF;1462;09/08/2022;20:50;MC;ARN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301038;MP;321;0;AF;AF;7649;09/08/2022;20:40;MC;LYS;AF;AF;7648;09/08/2022;21:55;MC;LYS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301051;MP;320;0;AF;AF;1291;09/08/2022;20:40;MC;CTA;AF;AF;1694;09/08/2022;21:35;MC;BUD;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301080;MP;320;0;AF;AF;1449;09/08/2022;08:10;MC;BCN;AF;AF;7624;09/08/2022;09:20;MC;BOD;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301145;MP;320;0;AF;AF;1149;09/08/2022;11:45;MC;BCN;AF;AF;1726;09/08/2022;12:45;MC;VCE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301160;MP;319;0;AF;AF;7627;09/08/2022;13:35;MC;BOD;AF;AF;1288;09/08/2022;14:55;MC;BRI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301162;MP;321;0;AF;AF;1529;09/08/2022;19:35;MC;OPO;AF;AF;1032;09/08/2022;20:45;MC;ATH;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301172;MP;318;0;AF;AF;7727;09/08/2022;11:30;MC;NTE;AF;AF;7710;09/08/2022;12:20;MC;NCE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3301194;MP;319;0;AF;AF;1275;09/08/2022;08:35;MC;OSL;AF;AF;9414;09/08/2022;09:25;MC;VLC;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
