Stay    ;BodyType ;AircraftType ;Towable ;Arr_OwnerCie ;Arr_ExploitingCie ;Arr_Number ;Arr_Date   ;Arr_Hour ;Arr_CourrierCode ;Arr_Stop ;Dep_OwnerCie ;Dep_ExploitingCie ;Dep_Number ;Dep_Date   ;Dep_Hour ;Dep_CourrierCode ;Dep_Stop
2309950 ;MP       ;321          ;      0 ;AF           ;AF                ;      1033 ;21/06/2016 ;09:00    ;MC               ;ATH      ;AF           ;AF                ;      1734 ;21/06/2016 ;10:10    ;MC               ;TXL
2309951 ;MP       ;319          ;      0 ;AF           ;AF                ;      1855 ;21/06/2016 ;15:35    ;MC               ;ALG      ;AF           ;AF                ;      1754 ;21/06/2016 ;16:25    ;MC               ;ALG
2309952 ;3N       ;E70          ;      0 ;A5           ;AF                ;      1317 ;21/06/2016 ;19:20    ;MC               ;GOA      ;A5           ;AF                ;      1724 ;21/06/2016 ;20:00    ;MC               ;BRE
2309953 ;MP       ;318          ;      0 ;AF           ;AF                ;      1147 ;21/06/2016 ;15:10    ;MC               ;WAW      ;AF           ;AF                ;      1814 ;21/06/2016 ;16:10    ;MC               ;ZRH
2309954 ;MP       ;318          ;      0 ;AF           ;AF                ;      7737 ;21/06/2016 ;07:50    ;MC               ;BES      ;AF           ;AF                ;      1812 ;21/06/2016 ;08:45    ;MC               ;LIN
2309955 ;MP       ;318          ;      0 ;AF           ;AF                ;      1751 ;21/06/2016 ;11:55    ;MC               ;CPH      ;AF           ;AF                ;      1828 ;21/06/2016 ;12:55    ;MC               ;BLQ
2309956 ;MP       ;319          ;      0 ;AF           ;AF                ;      7517 ;21/06/2016 ;11:25    ;MC               ;TLS      ;AF           ;AF                ;      1832 ;21/06/2016 ;12:40    ;MC               ;ATH
2309957 ;MP       ;321          ;      0 ;AF           ;AF                ;      1641 ;21/06/2016 ;15:00    ;MC               ;AMS      ;AF           ;AF                ;      1822 ;21/06/2016 ;15:55    ;MC               ;MUC
2309959 ;3N       ;E90          ;      0 ;A5           ;AF                ;      1019 ;21/06/2016 ;08:55    ;MC               ;FRA      ;A5           ;AF                ;      1774 ;21/06/2016 ;09:40    ;MC               ;OSL
2309960 ;3N       ;E70          ;      0 ;A5           ;AF                ;      7583 ;21/06/2016 ;19:55    ;MC               ;BIA      ;A5           ;AF                ;      1764 ;21/06/2016 ;20:45    ;MC               ;BLL
2309961 ;MP       ;318          ;      0 ;AF           ;AF                ;      1711 ;21/06/2016 ;16:40    ;MC               ;HAM      ;AF           ;AF                ;      1766 ;21/06/2016 ;17:45    ;MC               ;FLR
2309962 ;MP       ;321          ;      0 ;AF           ;AF                ;      1735 ;21/06/2016 ;14:30    ;MC               ;TXL      ;AF           ;AF                ;      1800 ;21/06/2016 ;15:25    ;MC               ;MAD
2309964 ;3N       ;E70          ;      0 ;A5           ;AF                ;      1293 ;21/06/2016 ;15:50    ;MC               ;BSL      ;A5           ;AF                ;      1810 ;21/06/2016 ;16:30    ;MC               ;NUE
2309965 ;MP       ;320          ;      0 ;AF           ;AF                ;      1321 ;21/06/2016 ;12:05    ;MC               ;TLV      ;AF           ;AF                ;      1780 ;21/06/2016 ;13:25    ;MC               ;LHR
2309966 ;MP       ;319          ;      0 ;AF           ;AF                ;      1281 ;21/06/2016 ;20:00    ;MC               ;LHR      ;AF           ;AF                ;      1784 ;21/06/2016 ;20:55    ;MC               ;TUN
2309967 ;MP       ;319          ;      0 ;AF           ;AF                ;      1165 ;21/06/2016 ;11:40    ;MC               ;BHX      ;AF           ;AF                ;      1788 ;21/06/2016 ;12:35    ;MC               ;SOF
2309968 ;3N       ;E90          ;      0 ;A5           ;AF                ;      1377 ;21/06/2016 ;09:20    ;MC               ;BIO      ;A5           ;AF                ;      1606 ;21/06/2016 ;10:15    ;MC               ;DUS
2309970 ;MP       ;318          ;      0 ;AF           ;AF                ;      1329 ;21/06/2016 ;19:35    ;MC               ;BLQ      ;AF           ;AF                ;      1610 ;21/06/2016 ;20:55    ;MC               ;HAM
2309972 ;3N       ;E90          ;      0 ;A5           ;AF                ;      1553 ;21/06/2016 ;09:15    ;MC               ;GOT      ;A5           ;AF                ;      1618 ;21/06/2016 ;10:00    ;MC               ;FRA
2309973 ;MP       ;318          ;      0 ;AF           ;AF                ;      1229 ;21/06/2016 ;12:05    ;MC               ;BLQ      ;AF           ;AF                ;      1614 ;21/06/2016 ;12:55    ;MC               ;ZRH
2309974 ;MP       ;319          ;      0 ;AF           ;AF                ;      1653 ;21/06/2016 ;09:15    ;MC               ;KBP      ;AF           ;AF                ;      1590 ;21/06/2016 ;10:00    ;MC               ;IST
