Stay    ;BodyType ;AircraftType ;NbTowings ;Arr_Number ;Arr_Date   ;Arr_Hour ;Arr_CourrierCode ;Dep_Number ;Dep_Date   ;Dep_Hour ;Dep_CourrierCode
3301517 ;MP       ;         321 ;        1 ;      1125 ;09/08/2022 ;09:10    ;MC               ;      9452 ;09/08/2022 ;11:20    ;MC
3301572 ;MP       ;         223 ;        0 ;      1423 ;09/08/2022 ;11:40    ;MC               ;      1070 ;09/08/2022 ;12:50    ;MC
3301573 ;MP       ;         321 ;        0 ;      7621 ;09/08/2022 ;07:30    ;MC               ;      7528 ;09/08/2022 ;08:30    ;MC
3301581 ;MP       ;         320 ;        0 ;      1127 ;09/08/2022 ;11:45    ;MC               ;      1346 ;09/08/2022 ;12:50    ;MC
3301599 ;MP       ;         223 ;        0 ;      1147 ;09/08/2022 ;15:05    ;MC               ;      1062 ;09/08/2022 ;16:10    ;MC
3301616 ;MP       ;         321 ;        0 ;      7683 ;09/08/2022 ;16:35    ;MC               ;      7646 ;09/08/2022 ;17:40    ;MC
3301618 ;MP       ;         319 ;        0 ;      1481 ;09/08/2022 ;13:15    ;MC               ;      7522 ;09/08/2022 ;14:05    ;MC
3301631 ;MP       ;         321 ;        0 ;      7521 ;09/08/2022 ;12:00    ;MC               ;      7680 ;09/08/2022 ;13:05    ;MC
3301637 ;MP       ;         319 ;        0 ;      9415 ;09/08/2022 ;14:25    ;MC               ;      1332 ;09/08/2022 ;15:20    ;MC
3301655 ;MP       ;         223 ;        0 ;      1151 ;09/08/2022 ;14:00    ;MC               ;      1082 ;09/08/2022 ;15:35    ;MC
3301659 ;MP       ;         321 ;        0 ;      7739 ;09/08/2022 ;12:05    ;MC               ;      7644 ;09/08/2022 ;13:05    ;MC
3301661 ;MP       ;         223 ;        0 ;      1351 ;09/08/2022 ;08:25    ;MC               ;      1300 ;09/08/2022 ;09:20    ;MC
3301664 ;MP       ;         319 ;        0 ;      7589 ;09/08/2022 ;21:05    ;MC               ;      1492 ;09/08/2022 ;21:55    ;MC
3301671 ;MP       ;         321 ;        0 ;      7529 ;09/08/2022 ;07:35    ;MC               ;      7714 ;09/08/2022 ;08:50    ;MC
3301727 ;MP       ;         320 ;        0 ;      1833 ;09/08/2022 ;20:00    ;MC               ;      7732 ;09/08/2022 ;21:15    ;MC
3301749 ;MP       ;         321 ;        0 ;      1775 ;09/08/2022 ;20:00    ;MC               ;      1004 ;09/08/2022 ;21:05    ;MC
3301761 ;MP       ;         319 ;        0 ;      7731 ;09/08/2022 ;17:00    ;MC               ;      7626 ;09/08/2022 ;17:50    ;MC
